Russian_term	English_term	Russian_sentence	English_sentence_expert	en_google Russian_sentence	en_nllb Russian_sentence	en_marian Russian_sentence
при ускоряющем напряжении	at an accelerating voltage of	Химический состав минерала исследован методом электронно-зондового микроанализа на приборе Camebax microbeam при ускоряющем напряжении 15 кВ и токе зонда 30 нА (ГЕОХИ РАН, аналитик В.Г. Сенин).	The chemical composition of the mineral was investigated by electron probe microanalysis on a Camebax Microbeam device at an accelerating voltage of 15 kV and a probe current of 30 nA (Vernadsky Institute of Geochemistry and Analytical Chemistry of the Russian Academy of Sciences, analyst V.G. Senin).	The chemical composition of the mineral was studied by electron-zond microanalysis on the Camebax MicroBeam device with an accelerating voltage of 15 kV and the probe of 30 on (geokhi RAS, analyst V.G. Senin).	The chemical composition of the mineral is investigated by the method of electronic-zonal microanalysis on the camebax microbeam instrument at an accelerating voltage of 15 kv and a current of 30 kv (wound geochemist, analyst v.g. sen).	The chemical composition of the mineral has been investigated by electro-sonde micro-analyzing on a camerabach microbeam with an acceleration voltage of 15 square kilometres and a probe current of 30 per (geoha wounds, Senin analyst).
при фазовом переходе	at the phase transition	Интересно отметить, что при фазовом переходе обнаружены те фазы, которые были определены в [9, 10]: высокотемпературная фаза I41/acd и низкотемпературная фаза I2m.	It is interesting to note that the phases found at the phase transition are the same as were determined in [9, 10]: high-temperature I41/acd phase and low-temperature I2m phase.	It is interesting to note that at the phase transition, those phases that were determined in [9, 10] were found: the high -temperature phase I41/ACD and the low -temperature phase I2M.	Interestingly, the phase transition detected those phases that were defined in [9, 10]: the high-temperature phase i41/acd and the low-temperature phase i2m.	It is interesting to note that during the phase transition, the phases defined in [9, 10] are: the high temperature phase i41/acd and the low temperature phase i2m.
при этих условиях	under these conditions	Наблюдаемый частотный сдвиг ( = 42 см–1) соответствует энергии связи возникающего при этих условиях бифонона [23].	The observed frequency shift (Δ = 42 cm–1) corresponds to the binding energy of biphonon generated under these conditions [23].	The observed frequency shift (= 42 cm - 1) corresponds to the energy of the bifonon arising under these conditions [23].	The observed frequency shift (=42 cm1) corresponds to the energy of the biphonon's connection under these conditions [23].	The observed frequency shift ( = 42 cm-1) corresponds to the communication energy of the biphonon under these conditions [23].
приближение аномальной дифракции	anomalous diffraction approximation	Приближение аномальной дифракции также дает правильное качественное и количественное объяснение зависимости эффекта от угла между направлением магнитного поля и светового луча.	The anomalous diffraction approximation also provides correct qualitative and quantitative explanation of the dependence of the effect on the angle between the magnetic-field and light-beam directions.	The approach of abnormal diffraction also gives the correct qualitative and quantitative explanation of the dependence of the effect on the angle between the direction of the magnetic field and the light beam.	The approximation of an anomalous diffraction also gives a proper qualitative and quantitative explanation of the angle-dependence effect between the direction of the magnetic field and the light beam.	The approach of abnormal diffusion also gives a correct qualitative and quantitative explanation of the effect-to-angle relationship between the magnetic field direction and the beam.
примерно на порядок	by about an order of magnitude	Поскольку действительная часть поляризуемости примерно на порядок больше мнимой, далее под термином поляризуемость подразумеваем только действительную часть.	Since the real part of the polarizability is larger than the imaginary part by about an order of magnitude, the term polarizability will be considered below to be only the real part.	Since the actual part of the polarizability is about an order of magnitude more imaginary, then by the term polarizability we mean only the actual part.	Since the actual portion of the polarization is about a little bit more than we thought, we're going to use the term polarization to refer to the actual portion.	Since the actual part of polarity is about an order of magnitude greater than the supposed part, then the term polarity refers to only the actual part.
принцип детального равновесия	principle of detailed balance	Как отмечалось выше, для спектральной функции S(Q, E, T), во-первых, реализуется принцип детального равновесия, т.е. при Т   спектральная часть, соответствующая отрицательной передаче энергии при рассеянии (neutron energy gain), имеет интенсивность, равную интенсивности части с положительной передачей энергии (neutron energy loss), а при Т  0 вся интенсивность рассеяния сосредоточена в части с положительной передачей.	As was noted above, the first thing is that the principle of detailed balance is implemented for the spectral function S(Q, E, T) (i.e., at T   the intensity of the spectral part corresponding to the negative energy transfer at scattering (neutron energy gain) is equal to that of the part with positive energy transfer (neutron energy loss), whereas at T  0 the entire scattering intensity is concentrated in the part with positive energy transfer).	As noted above, for the spectral function S (Q, E, T), firstly, the principle of detailed equilibrium is realized, i.e.In the spectral part corresponding to the negative transmission of energy during scattering (Neutron Energy Gain), it has an intensity equal to the intensity of the part with positive energy transmission (Neutron Energy Loss), and with T 0 the entire intensity of scattering is concentrated in the part with a positive transmission.	As noted above, for the spectral function s(q, e, t), first, the principle of detailed equilibrium is implemented, i.e. at t the spectral part corresponding to the negative energy transfer at dissipation (neutron energy gain) has an intensity equal to the intensity of the part with positive energy transfer (neutron energy loss), and at t 0 the entire intensity of dissipation is concentrated in the part with positive transmission.	As noted above, for the spectral function s(q, e, t), first, the principle of detailed equilibrium is realized, i.e. the spectral part corresponding to the negative transmission of energy during diffusion (neutron energy gain) has an intensity equal to that of the positive part (neutron energy loss) and, with 0, the whole diffusion rate is concentrated in the positive part.
проводимость на постоянном токе	dc conductivity	На микроскопическом уровне исследовали локальную проводимость на постоянном токе в зависимости от состава и кристаллографической ориентации образцов.	At the microscopic level, we studied the local dc conductivity as a function of the composition and crystallographic orientation of the samples.	At a microscopic level, local conductivity on direct current was studied, depending on the composition and crystallographic orientation of samples.	The microscopic level of the sample was based on the local conductivity at constant current, depending on the composition and crystallographic orientation of the sample.	At the microscopic level, the local conductivity of the constant current was examined, depending on the composition and crystallographic orientation of the samples.
просвечивающая электронная микроскопия	transmission electron microscopy	Изучение структуры и фазообразования в композиционных материалах с металлической и неметаллической матрицей требует использования особых методов, таких как просвечивающая электронная микроскопия и рентгеновская рефлектометрия.	Investigation of the structure and phase formation in composites with a metal and nonmetallic matrix calls for the use of special methods, such as transmission electron microscopy (TEM) and X-ray reflectometry.	The study of the structure and phase formation in composite materials with a metal and non -metallic matrix requires the use of special methods, such as translucent electron microscopy and x -ray reflectometry.	The study of the structure and phase formation in composite materials with a metallic and nonmetallic matrix requires the use of special methods, such as illuminating electron microscopy and X-ray reflector metrics.	The study of structure and phase formation in composite materials with a metal and non-metallic matrix requires the use of special techniques such as e-lighting microscopics and X-ray reflexometrics.
против часовой стрелки	counterclockwise	Спин-орбитальное расщепление валентной зоны приводит к возбуждению электронов с импульсом kz < 0 для света с круговой поляризацией по часовой стрелке (lz = –1), тогда как свет с круговой поляризацией против часовой стрелки (lz = 1) возбуждает электроны с импульсом kz > 0.	Spin–orbit splitting of the valence band leads to excitation of electrons with a momentum kz < 0 for clockwise circularly polarized light (lz = –1), whereas light with counterclockwise circular polarization (lz = 1) excites electrons with the momentum kz > 0.	The spin-orbital breakdown of the valence zone leads to the excitation of electrons with the pulse kz <0 for light with a circular polarization clockwise (lz = –1), while light with a circular polarization counterclockwise (LZ = 1) excites electrons with an pulse KZ>0.	The spin-orbital splitting of the valence zone causes electrons with an impulse of kz < 0 to be excited for a light with a circular polarization on the clock arrow (lz = 1), while a light with a circular polarization against the clock arrow (lz = 1) excites electrons with an impulse of kz > 0.	An orbital split of the valent zone results in the exclamation of electrons with pulse kz < 0 for light with circular polarization clockwise (lz = -1), while light with circular polarization against clockwise (lz = 1) causes electrons with pulse kz > 0.
путем численного решения	by solving numerically	Путем численного решения уравнения (8) можно определить связь между соотношением осей капли и радиусом сферы эквивалентного объема при известных величинах поля и межфазного натяжения.	By solving numerically Eq. (8), one can determine the relation between the ratio of the droplet axes and the equivolume sphere radius at the known field strength and interfacial tension.	By numerical solution of equation (8), it is possible to determine the relationship between the ratio of the axes of the drop and the radius of the sphere of the equivalent volume with the known values of the field and interfacial tension.	By numerical solution of equation (8) the relationship between the ratio of the axes of the drop and the radius of the sphere of equivalent volume at known field and interphase tensions can be determined.	A numerical solution of equation (8) can determine the relationship between the ratio of the drop axis to the radius of the sphere of equivalent volume at known field values and interphase tension.
пучки заряженных частиц	charged particle beams	В таких установках интенсивные (ток несколько сотен миллиампер) пучки заряженных частиц, обладающие очень малым фазовым объемом – эмиттансом, двигаясь в поперечном магнитном поле, создают мощное и яркое излучение, которое по каналам вывода поступает на большое число экспериментальных станций для проведения исследований.	In these facilities, intense (with a current of several hundred milliamperes) charged particle beams with a very small phase volume (emittance), moving in a transverse magnetic field, form high-power bright radiation, which is supplied through output channels to many experimental stations for further research.	In such installations, intensive (current of several hundred milliamps) bunches of charged particles with a very small phase volume - emitans, moving in a transverse magnetic field, create a powerful and bright radiation, which through the output channels enters a large number of experimental stations for research.	In such installations, intense (flow of several hundred milliampers) bundles of charged particles with a very small phase volume of  emission, moving in a transverse magnetic field, create powerful and bright radiation that is transmitted through the output channels to a large number of experimental stations for research.	In such installations, intensive (several hundred milliamper) particle beams with a very small phase volume, an emitantum, moving in a cross magnetic field, create a powerful and bright radiation that reaches a large number of experimental research stations through withdrawal channels.
равноканальное угловое прессование	equal-channel angular pressing	Технология ИПД предполагает объемную деформацию образца с помощью таких процессов, как прокатка, волочение, равноканальное угловое прессование и др.	The SPD technology suggests bulk deformation of a sample using the processes such as rolling, drawing, equal-channel angular pressing, etc.	IPD technology involves volumetric deformation of the sample using processes such as rolling, dragging, equalcanal angular pressing, etc.	The ipd technology involves the large-scale deformation of the sample by processes such as rolling, pulling, equally-channel angular pressing, etc.	The ipd technology involves a volume deformation of the sample through processes such as rolling, dragging, equi-channel cornering, etc.
радиальная функция распределения	radial distribution function	По этим координатам атомов была построена радиальная функция распределения g(r) (рис. 5).	Based on these atomic coordinates, we constructed the radial distribution function g(r) (Fig. 5).	On these coordinates of atoms, a radial distribution function G (R) (Fig. 5) was built.	The radial function of the distribution of g(r) is constructed at these coordinates of atoms (fig. 5).	The radial distribution function g(r) (Figure 5) has been constructed based on these atom coordinates.
радиационная физика твердого тела	radiation physics of solid state	Основа указанных знаний – радиационная физика твердого тела, основательно развитая за долгие годы с момента возникновения атомной проблемы, – применительно к кристаллам типа суперионников фактически остается белым пятном.	This knowledge is based on the radiation physics of solid state, which has been thoroughly developed for many years since the opening of the atomic problem, though remains poorly studied for superionic crystals.	The basis of these knowledge is the radiation physics of the solid body, thoroughly developed over many years from the moment the atomic problem occurs, in relation to crystals such as superionnaires, in fact remains a white spot.	The basis of this knowledge is solid-body radiation physics, which has been well developed over the years since the emergence of the atomic problem, which is actually a white spot for supernion crystals.	The basis of this knowledge – the radiation physics of the solid body, which has been extensively developed over the years since the nuclear problem arose – for superionic crystals actually remains a white spot.
радиус закругления острия	tip radius	Кремниевый кантилевер (HA_FM, балка B, Tipsnano, Эстония), покрытый Pt, имел следующие характеристики: резонансная частота f = 114 кГц, жесткость k = 6 Н/м, радиус закругления острия R  35 нм.	A Pt-covered silicon cantilever (HA_FM, beam B, Tipsnano, Estonia), had the following characteristics: resonance frequency f = 114 kHz, stiffness k = 6 N/m, and tip radius R  35 nm.	Silicon Cantilere (Ha_FM, Balka B, Tipsnano, Estonia), covered with PT, had the following characteristics: resonant frequency F = 114 kHz, rigidity k = 6 n/m, radius of rounding of the zero r  35 nm.	The silicon cantilever (ha_fm, balka b, tipsnano, Estonia), coated with pt, had the following characteristics: resonance frequency f = 114 kgz, hardness k = 6 n/m, radius of rounding of the sharp r  35 nm.	The silicon cantile (ha_fm, beam b, tippnano, Estonia) covered by pt, had the following characteristics: resonant frequency f = 114 kgz, rigidity k = 6 n/m, radius of tip r = 35 nm.
разбиение на слои	division into layers	Структура молекулы C60F18 и ее разбиение на слои математическим алгоритмом.	Structure of the C60F18 molecule and its division into layers by the mathematical algorithm.	The structure of the molecule C60F18 and its division into layers with a mathematical algorithm.	The structure of the c60f18 molecule and its breakdown into layers by a mathematical algorithm.	The structure of the c60f18 molecule and its breakage into layers by a mathematical algorithm.
разброс по энергии	 energy spread	Относительные положения состояний 4f (конфигурации трёхвалентных ионов РЗЭ) от кристалла к кристаллу имеют разброс по энергии не более чем 50-400 cm-1 [14].	Relative positions of the 4f states (configurations of trivalent REE ions) for a particular crystal have an energy spread of no more than 50–400 cm–1 [14].	The relative provisions of the states of 4F (the configurations of the Trinvalent ions of the REP) from the crystal to the crystal have an energy spread of not more than 50-400 CM-1 [14].	The relative positions of the 4f states (configuration of three-wave ions of rze) from the crystal to the crystal have a discharge of energy not more than 50-400 cm-1 [14].	The relative positions of state 4f (configuration of trivalent ions of Rze) from crystal to crystal have an energy scatter of no more than 50-400 cm-1 [14].
размер элементарной ячейки	unit-cell size	При 300 K, когда в решетке практически нет термических дефектов, размер элементарной ячейки при C/Zr = 0.84 согласно экспериментальным данным максимален [1, 2].	At 300 K, when there are hardly any thermal defects in the lattice, the unit-cell size at C/Zr = 0.84 is maximum, according to the experimental data [1, 2].	At 300 k, when there are practically no thermal defects in the lattice, the size of the elementary cell at C/ZR = 0.84 according to experimental data is maximum [1, 2].	At 300 k, when there are virtually no thermal defects in the lattice, the size of the elementary cell at c/zr = 0.84 is the maximum according to experimental data [1, 2].	at 300 k where there are practically no thermal defects in the grate, the size of the elementary cell at c/zr = 0.84 according to the experimental data is maximal [1, 2].
разностные синтезы электронной плотности	difference electron-density maps	На данном этапе уточнения структурной модели построены разностные синтезы электронной плотности вблизи всех позиций атомов кислорода.	At this stage of refinement of the structural model, the difference electron-density maps near all oxygen atomic sites were plotted.	At this stage of clarification of the structural model, variable syntheses of electronic density are built near all positions of oxygen atoms.	At this stage of structural model refinement, different electron density syntheses have been built near all positions of oxygen atoms.	At this stage of refining the structural model, different synthesiss of electronic density have been built near all positions of oxygen.
разогрев носителей заряда	heating of charge carriers	Основной эффект, в котором проявляется разогрев носителей заряда в полупроводниках в сильных электрических полях, – изменение электропроводности и отклонение вольт-амперной характеристики полупроводников от линейной (от закона Ома) (рис. 3б).	The main effect in which heating of charge carriers in semiconductors in strong electric fields manifests itself is the change in the electrical conductivity and the deviation of the current–voltage characteristic of semiconductors from linear (i.e., from Ohm's law) (Fig. 3b).	The main effect in which the heating of the charge carriers in semiconductors in strong electric fields is manifested is the change in electrical conductivity and the deviation of the volt-ampere characteristics of the semiconductors from the linear (from the law of OMA) (Fig. 3b).	The main effect is the heating of the charge carriers in the semiconductors in strong electric fields, the change in the electrical conductivity and the deviation of the volt-amp characteristic of the semiconductors from the linear (from the law of ohm) (fig. 3b).	The main effect of the heating of chargers in semiconductors in strong electric fields is the alteration of electrical conductivity and the deviation of the volt-amperal characteristics of semiconductors from linear (from the Oma Law) (figure 3b).
разрешение по времени	time resolution	Видно, что вычисленные частотно-фазовые параметры обеспечивают разрешение по времени с хорошим запасом.	One can see that the calculated frequency–phase parameters provide the desired time resolution with a good margin.	It can be seen that the calculated frequency-phase parameters provide permission in time with a good margin.	You can see that the frequency-phase parameters we've calculated provide a time resolution with a good stock.	As can be seen, the calculated frequency and phase parameters provide a resolution over time with a good reserve.
распределение по ориентациям	orientation distribution	С ростом давления первыми закрываются тонкие трещины, в процессе их закрытия может изменяться как усредненная форма трещин, так и распределение по ориентациям трещин разной формы.	Thin cracks are the first to close with increasing pressure, their closure may be accompanied by a change in the averaged crack shape and the orientation distribution of cracks of different shapes.	With the increase in pressure, thin cracks are first closed, in the process of closing, both the averaged shape of cracks and the distribution by orientations of cracks of various shapes can change.	When the pressure increases, the first to close the fine cracks are the cracks, and the average shape of the cracks and the distribution of cracks of different shapes may change during their closure.	With increasing pressure, thin cracks are closed first, and during closing, both the average shape of the cracks and the directional distribution of the various shapes may change.
распределение частиц по размерам	particle size distribution	Измеряя и анализируя флуктуацию интенсивности рассеяния света (а именно частоту осцилляций интенсивности света относительно среднего значения, используя автокорреляционную функцию), можно вычислить коэффициент диффузии, рассчитать распределение частиц по размерам и дать описание движения частиц в растворе (в среде).	Based on the measurements and analysis of the fluctuations in scattered light intensity (the oscillation frequency of light intensity with respect to the average value using the autocorrelation function), one can calculate the diffusion coefficient and the particle size distribution and describe the particle motion in solution (medium).	By measuring and analyzing the fluctuation of light scattering (namely the frequency of oscillation of light intensity relative to the average value using the auto -correlation function), the diffusion coefficient can be calculated, the distribution of particles by size and describe the movement of particles in the solution (in the environment).	By measuring and analyzing the fluctuation of the intensity of light scattering (namely the frequency of oscillations of light intensity relative to the mean value, using the autocorrelation function), you can calculate the diffusion coefficient, calculate the distribution of particles by size and give a description of the motion of particles in the solution (in the medium).	By measuring and analysing the flux of light diffusion rates (i.e. the frequency of ocillations of luminous intensity relative to the mean value using autocortulation function), it is possible to calculate the diffusion factor, calculate the particle size distribution and describe the movement of particles in solution (in environment).
расстояние между позициями	intersite distance	Дальнейшее уточнение структуры выявило расщепление этой позиции на две (расстояние между позициями 0.246 Å), заселенные атомами K и Na на 72 и 28% соответственно.	A further refinement of the structure revealed the splitting of this site into two sites (intersite distance 0.246 Å) occupied by K and Na atoms for 72% and 28%, respectively.	Further clarification of the structure revealed the splitting of this position into two (the distance between positions 0.246 å), settled by atoms K and Na by 72 and 28%, respectively.	Further refinement of the structure revealed the split of this position into two (distance between positions 0.246 å), populated by k and na atoms by 72 and 28% respectively.	Further refinement of the structure revealed a split of this position by two (distance between 0.246 ó), which is composed of atoms k and na by 72 and 28 per cent respectively.
растворы на основе	solutions based on	Твердые растворы на основе простых кислых сульфатов и фаза K0.55Rb0.45HSO4 также заслуживают отдельного разъяснения.	The solid solutions based on simple acid sulfates, and the K0.55Rb0.45HSO4 phase also deserve special attention.	Solid solutions based on simple sour sulfates and phase K0.55RB0.45HSO4 also deserve separate clarification.	The solid solutions based on simple acid sulfates and the k0.55rb0.45hso4 phase also deserve some clarification.	Solid solutions based on simple acid sulfates and phase k0.55rb0.45hso4 also deserve separate explanation.
расчеты из первых принципов	ab initio calculations	Расчеты из первых принципов для алмазной решетки предполагают высокую стабильность ядра -дислокации за счет реконструкции атомных связей вдоль дислокационной линии [16].	Ab initio calculations for a diamond lattice suggest high stability of the  dislocation core due to reconstruction of atomic bonds along the dislocation line [16].	Calculations from the first principles for the diamond lattice suggest high stability of the nucleus -decline due to the reconstruction of atomic connections along the deployment line [16].	The calculations from the first principles for the diamond lattice assume a high stability of the dislocation core by reconstructing the atomic connections along the dislocation line [16].	Calculations from the first principles for the diamond grid suggest a high stability of the core-depositioning through the reconstruction of nuclear ties along the positioning line [16].
решение этой проблемы	solution to this problem	"Но главная проблема эксперимента [38] состояла в отсутствии начала отсчета: поскольку вращение Земли остановить невозможно, то непонятно было, где должен был быть ""ноль"" интерференционных полос. А.А. Майкельсон нашел оригинальное решение этой проблемы: был создан вспомогательный кольцевой оптический контур малой площади, так что вращение Земли не вызывало в нем практически никакого сдвига интерференционных полос [38]."	"However, the main problem of the experiment [38] was the absence of a reference point: since the Earth rotation cannot be stopped, it was unclear where the interference fringe ""zero"" should be. A.A. Michelson found an original solution to this problem: an auxiliary ring optical circuit with a small area was designed, so that the Earth rotation barely shifted interference fringes in it [38]."	But the main problem of the experiment [38] was the absence of the start of the reference: since the rotation of the Earth was impossible to stop, it was not clear where the “zero” of interference strips was supposed to be.A.A.Michelson found the original solution to this problem: a auxiliary ring optical contour of small area was created, so that the rotation of the Earth caused almost no shift in the interference stripes [38].	"But the main problem of the experiment [38] was the lack of a starting point for the calculation: since the earth's rotation cannot be stopped, it was unclear where the ""zero"" of interference bands should be."	"But the main problem with the experiment [38] was the absence of a starting point: since it was impossible to stop the rotation of the land, it was not clear where the ""zero"" of the interference strips was supposed to be. a.a. Tickelson found the original solution: an auxiliary ring optical contour of a small area was created, so the rotation of the land did not cause almost any movement of the interference strips [38]."
ряд существенных недостатков	a number of serious drawbacks	Следует отметить, что прямонакальные радиолампы имели ряд существенных недостатков и, в частности, короткий срок службы и очень большой ток накала.	It should be noted that filamentary electron tubes had a number of serious drawbacks (in particular, short lifetime and very high filament current).	It should be noted that the direct -wound radio -tubes had a number of significant deficiencies and, in particular, a short service life and a very large intensity current.	It should be noted that the straight-line radio lamps had a number of significant drawbacks, in particular short service life and very high current of the flash.	It should be noted that the direct-onset radio lamps had a number of significant defects, in particular the short life and the very high current of the filament.
с временным разрешением	time-resolved	Затем проводится ряд исследований при воздействии лазерного излучения методами рентгеновской дифрактометрии, в том числе с временным разрешением.	Furthermore, a number of studies under laser irradiation are performed by the methods of X-ray diffractometry, including the time-resolved studies.	Then, a number of studies are carried out with laser radiation by x -ray diffractometry, including temporary resolution.	Then a number of studies are conducted with the use of laser radiation using X-ray diffraction metrics, including temporary permission.	A number of studies are then carried out on the exposure to laser radiation by X-ray diphracmetry, including temporary resolution.
с научной точки зрения	from the scientific point of view	С научной точки зрения эти сведения являются базой для построения теории ионных расплавов.	From the scientific point of view, these data are basis for constructing the ion-melt theory.	From a scientific point of view, this information is the basis for building the theory of ion melts.	From a scientific point of view, this information is the basis for building the ion melting theory.	From a scientific point of view, this information is the basis for building the theory of ion melts.
с погрешностью менее	with an error of less than	Из них следует, что уже при квазиодномерное решение позволяет определить размах колебаний на поверхности полупространства с погрешностью менее , что вполне приемлемо для практических целей.	It can be seen that, even at , the quasi-one-dimensional solution makes it possible to determine the peak-to-peak value of fluctuations on the half-space surface with an error of less than 5%, which is quite acceptable for practical use.	From them it follows that already with a quasi -dimensional solution, it allows you to determine the scope of oscillations on the surface of the semi -space with an error less, which is quite acceptable for practical purposes.	It follows that even with a quasi-uniform solution, it is possible to determine the range of oscillations on the surface of the half-space with a less than error, which is quite acceptable for practical purposes.	It follows that already with a quasi-dimensive solution, it is possible to determine the extent of the variation on the surface of the semi-space with an error less than, which is acceptable for practical purposes.
с полным основанием	with good reason	Однако во всех этих трех образцах Feпреобладает над Ti (в атомных количествах), таким образом, тиеттаит с полным основанием можно считать Fe-доминантным минералом.	However, in all these three samples, Fe dominates over Ti (in atomic amounts); thus, tiettaite can be assumed with good reason to be Fe-dominant mineral.	However, in all these three FEM samples, TI (in atomic quantities), thus, can be considered a Fe-dominant mineral with a full basis.	However, in all three of these samples feprevaults over ti (in atomic quantities), thus tiettaite can be considered fe-dominant mineral with full basis.	However, in all of these three samples, femininity prevails over ti (in atomic quantities), so tiettaitis can reasonably be considered a fe-dominant mineral.
с ростом длины волны	with an increase in the wavelength	С ростом длины волны пропускание мутного образца в ИК области монотонно увеличивалось, достигая на длине волны 40 μm значения 55 %, что тем не менее значительно ниже, чем у свежеполированного образца (около 90 %).	The transmittance of the turbid sample in the IR range increased monotonically with an increase in the wavelength to be as high as 55% at a wavelength of 40 μm, which is, nevertheless, much lower than the value for the as-polished sample (~90%).	With an increase in the wavelength of the muddy sample in the IR of the region, it increased monotonously, reaching 40 μm values of 55 %on the wavelength of 40 μm, which is nevertheless significantly lower than that of a freshly polished sample (about 90 %).	As the wavelength increased, the mute sample's discharge in the IC region increased monotonously, reaching a wavelength of 40 μm of 55%, which is nevertheless significantly lower than that of the freshly polished sample (about 90%).	With a rise in the wave length of the murky sample in the area of the area, the rate of transmission increased monotonously, reaching 40 μm of 55 per cent, which is still significantly lower than that of the fresh-polluted sample (about 90 per cent).
с ростом температуры	with an increase in temperature	Следовательно, искусственно созданная анизотропия свойств ПГ уменьшается с ростом температуры и, по-видимому, нивелируется при приближении к температуре плавления графита.	Therefore, the artificial anisotropy of the PG properties decreases with an increase in temperature and is likely invalidated when approaching the graphite melting temperature.	Consequently, the artificially created anisotropy of the properties of the PG decreases with an increase in temperature and, apparently, is leveled when the graphite melting temperature approaches.	Therefore, the artificially created anisotropy of pg properties decreases with temperature rise and appears to level as it approaches the melting temperature of graphite.	Consequently, the artificial anisotropy of pg properties decreases with the rise in temperature and appears to be reduced when approaching the melting point of the graphite.
с сосредоточенными параметрами	lumped	До недавнего времени обоснования IVR базировались на расчетах, выполненных с использованием стационарных моделей с сосредоточенными параметрами, при этом учитывались исключительно тепловые процессы в ванне расплава при его взаимодействии с корпусом (днищем) реактора, для условий полностью сформировавшейся ванны на днище корпуса.	Until recently, the IVR was justified based on calculations performed using stationary models with lumped parameters, and only thermal processes in the melt bath upon the interaction between the melt and reactor vessel (bottom) were taken into account for the conditions of completely formed bath at the vessel bottom.	Until recently, IVR substantiations were based on calculations made using stationary models with concentrated parameters, while exclusively thermal processes in the bath of the melt were taken into account when it interacts with the reactor body (bottom), for the conditions of a fully formed bath on the bottom of the body.	Until recently, the ivr was based on calculations using stationary models with concentrated parameters, taking into account only the heat processes in the melting bath when it interacts with the reactor's core (bottom) for the conditions of a fully formed tub at the bottom of the core.	Until recently, the justifications ivr were based on calculations made using stationary models with concentrated parameters, taking into account exclusively heat processes in the melt bath during its interaction with the reactor body(s) for fully formed bath conditions at the bottom of the shell.
с точностью до	accurate to	Полученные уравнения с точностью до обозначения ангармонических постоянных совпадают с уравнениями, приведенными в [6, 26].	The equations obtained coincide (accurate to designation of the anharmonic constants) with the equations reported in [6, 26].	The obtained equations with an accuracy to the designation of hangarmonic constant coincide with the equations given in [6, 26].	The equations obtained with precision before the indication of the disharmony constants coincide with the equations given in [6, 26].	The equations obtained are exactly the same as those given in [6, 26].
с формальной точки зрения	formally	С формальной точки зрения это описывается как взаимодействие ядерных возбуждений с виртуальными фотонами, которыми являются собственные моды полости.	Formally, this pattern is described by the interaction between nuclear excitations and virtual photons, which are cavity eigenmodes.	From a formal point of view, this is described as the interaction of nuclear excitation with virtual photons, which are their own mods of the cavities.	In a formal sense, this is described as the interaction of nuclear excitations with virtual photons, which are their own modes of cavity.	From a formal point of view, this is described as the interaction of nuclear excitations with virtual photons, which are their own fashions.
свет с круговой поляризацией	circularly polarized light	Спин-орбитальное расщепление валентной зоны приводит к возбуждению электронов с импульсом kz < 0 для света с круговой поляризацией по часовой стрелке (lz = –1), тогда как свет с круговой поляризацией против часовой стрелки (lz = 1) возбуждает электроны с импульсом kz > 0.	Spin–orbit splitting of the valence band leads to excitation of electrons with a momentum kz < 0 for clockwise circularly polarized light (lz = –1), whereas light with counterclockwise circular polarization (lz = 1) excites electrons with the momentum kz > 0.	The spin-orbital breakdown of the valence zone leads to the excitation of electrons with the pulse kz <0 for light with a circular polarization clockwise (lz = –1), while light with a circular polarization counterclockwise (LZ = 1) excites electrons with an pulse KZ>0.	The spin-orbital splitting of the valence zone causes electrons with an impulse of kz < 0 to be excited for a light with a circular polarization on the clock arrow (lz = 1), while a light with a circular polarization against the clock arrow (lz = 1) excites electrons with an impulse of kz > 0.	An orbital split of the valent zone results in the exclamation of electrons with pulse kz < 0 for light with circular polarization clockwise (lz = -1), while light with circular polarization against clockwise (lz = 1) causes electrons with pulse kz > 0.
